w,cat,d,hint,ex,alt,status
ROUNDABOUT,Streets,2,Circle where six roads argue,,,live
KABUKABU,Streets,2,"Unpainted, unofficial taxi",,,live
PASSENGER,Streets,1,"You, squeezed four-to-a-row in the danfo",,,live
CHOP,Gist,1,To eat - or to enjoy money that isn't yours,,,live
CHOKE,Gist,1,So good it almost hurts - 'this jollof choke',,,live
CRASE,Gist,2,Your head don crase - you've lost it,,,live
WEREY,Gist,2,Madman - said with fondness or fury,,WERE,live
MUGU,Gist,2,A fool lined up to be scammed,,,live
GASKIYA,Gist,2,"Hausa for 'truth' - 'gaskiya, I'm tired'",,,live
GBEBORUN,Gist,3,A gossip who runs to spread the news,,,live
FAAJI,Gist,2,"Enjoyment, the whole vibe of a good time",,,live
OLOFOFO,Gist,2,"The compound informant, always watching",,,live
MADAM,Gist,1,"The woman in charge, of the house or the shop",,,live
OGBENYE,Gist,3,"A wretch, someone with nothing",,,live
OSHEY,Gist,2,"Thank-you shout, also mock praise",,OSHE,live
CHAIRMAN,Gist,1,Respect title for any big man - 'chairman!',,,live
BIGMAN,Gist,1,Somebody with money and the urge to show it,,,live
PEPPER,Gist,2,To spray cash and stunt - 'pepper dem',,,live
CARRYGO,Gist,2,"Keep going, forget it - 'no wahala, carry go'",,,live
LONGTHROAT,Gist,2,"Greed, wanting every good thing at once",,,live
SIDDON,Gist,2,Sit down - 'siddon look' means mind your business,,,live
CONFAM,Gist,2,"Confirmed, for sure - stronger than 'sure'",,,live
TURNUP,Gist,1,When the party finally catches fire,,,live
VAWULENCE,Gist,2,"Playful online trouble-making, mock violence",,,live
PALLIATIVE,Gist,2,Government relief food - the word turned bitter,,,live
HOWFAR,Pidgin,1,The standard hello - 'how far?',,,live
WALAHI,Pidgin,2,I swear - borrowed through Hausa,,WALLAHI,live
SEBI,Pidgin,2,Isn't it so? - 'sebi I told you',,SHEBI,live
GHENGHEN,Pidgin,2,"Sound-effect for drama - 'and then, ghen ghen'",,,live
YAKATA,Pidgin,2,Flat on the ground - 'he fall yakata',,,live
TORI,Pidgin,1,"Story, news - 'wetin be the tori?'",,,live
EFIZZY,Pidgin,2,"Showing off, flamboyance",,,live
PIKIN,Pidgin,1,A child - 'that pikin sabi book',,,live
MAKA,Pidgin,2,Because - Igbo 'maka gini?' means why,,,live
GOSLOW,Pidgin,1,A traffic jam - Lagos calls it this,,,live
LASGIDI,Pidgin,2,Fond nickname for Lagos,,,live
NASO,Pidgin,2,That's how it is - 'na so we see am',,,live
KPATAKPATA,Pidgin,2,"Completely, totally - 'e spoil kpatakpata'",,,live
FIAM,Pidgin,3,"Instantly, in a flash - 'e disappear fiam'",,,live
FUELQUEUE,Naija,2,The line at the filling station that never moves,,,live
PETROL,Naija,1,What you queue for while the price keeps jumping,,,live
DIESEL,Naija,1,Runs the big gen when there's no light,,,live
TRANSFER,Naija,1,How you pay now - 'I've done the transfer',,,live
RECHARGE,Naija,1,Buy credit for the phone,,,live
INFLATION,Naija,2,Why the same market money now buys half,,,live
CAUTION,Naija,2,Deposit the landlord keeps 'for repairs',,,live
TENEMENT,Naija,3,Face-me-I-face-you rooms off one corridor,,,live
QUARTERS,Naija,2,Staff housing that comes with the job - 'BQ',,,live
PENSION,Naija,2,The money retirees queue in the sun to verify,,,live
GRATUITY,Naija,3,"Lump sum owed at retirement, often unpaid",,,live
UPNEPA,Naija,2,The shout when the power suddenly returns,,,live
GENSET,Naija,2,"The generator, in one word",,,live
PREPAID,Naija,2,The meter you load before you can burn light,,,live
THUNDER,Naija,1,Wetin dem go take swear for you,,,live
FLASHFLOOD,Naija,3,Water that fills the street in one downpour,,,live
BUBA,Owambe,1,The loose blouse worn with an iro,,,live
KEMBE,Owambe,2,"Wide three-quarter trousers, Yoruba style",,,live
AKWETE,Owambe,2,"Handwoven cloth from Aba, bold stripes",,,live
OKENE,Owambe,2,"Ebira handwoven cloth, rich and heavy",,,live
ETIBO,Owambe,2,Long shirt of the Niger Delta chiefs,,,live
HOLLANDIS,Owambe,3,"Real Dutch wax, the wrapper you save for big days",,,live
BROCADE,Owambe,2,Shiny raised-pattern fabric for kaftans,,,live
LACE,Owambe,1,"The party fabric - French, Swiss, dry or soft",,,live
IPELE,Owambe,2,Shoulder sash worn over the buba,,,live
ABETIAJA,Owambe,3,'Dog-ear' cap that folds at the sides,,,live
GOBI,Owambe,2,Tall straight-up cap worn with agbada,,,live
HEADTIE,Owambe,1,"Cloth wrapped for church, plainer than gele",,,live
AUTOGELE,Owambe,2,The ready-made gele you just slip on,,,live
DAMASK,Owambe,2,"Heavy self-patterned cloth, 'first lady' material",,,live
SLIPPERS,Home,1,Rubber 'pafuka' for the house and beyond,,,live
PILLOW,Home,1,What you fight your sibling for at night,,,live
BLANKET,Home,1,Comes out only in Harmattan,,,live
CURTAIN,Home,1,Doubles as the door in many rooms,,,live
HURRICANE,Home,2,Old kerosene lamp with a glass chimney,,,live
STOVE,Home,1,Kerosene one you pump before it lights,,,live
WARMER,Home,1,Where the soup waits between meals,,,live
WRAPPER,Home,1,"Blanket, towel and baby-carrier in one cloth",,,live
BURGLARY,Home,2,The welded bars over every window - 'burglary proof',,,live
PARLOUR,Home,1,The sitting room kept nice for visitors,,,live
VERANDAH,Home,1,The front porch where evenings are spent,,VERANDA,live
SOAKAWAY,Home,2,The pit that takes the house's waste water,,,live
STANDPIPE,Home,2,Public tap the whole street queues at,,,live
RAFFIA,Home,2,Palm-fibre for brooms and mats,,,live
BENDDOWN,Market,2,Second-hand clothes spread on the ground,,,live
LASTPRICE,Market,2,'How much last?' - the real starting point,,,live
JARA,Market,1,The little extra the seller tops your measure with,,,live
MEASURE,Market,1,The cup or tin the grains are sold by,,,live
TRADER,Market,1,The woman who owns the stall and the last word,,,live
IYALOJA,Market,2,"The market's mother, head of the women traders",,,live
BABALOJA,Market,3,"The market's chief, counterpart to iyaloja",,,live
LOADER,Market,1,Fills the bus at the park and shouts the fare,,,live
SUPPLIER,Market,2,"The one 'wey dey supply', a rung above retail",,,live
CREDIT,Market,1,'Write am for book' - pay after payday,,,live
STOCKFISH,Market,2,Dried cod traded by the carton,,,live
PROVISIONS,Market,1,"Milk, sugar, tea - the kiosk shelf staples",,,live
HYENA,Animal,1,Laughs in the northern bush at night,,,live
WARTHOG,Animal,2,"Bush pig with tusks, tail up when it runs",,,live
BABOON,Animal,1,"Rock-climbing monkey, big and bold",,,live
LEOPARD,Animal,2,The bush cat on Nigeria's coat of arms,,,live
HIPPO,Animal,1,River horse of the Niger and Benue,,,live
MANATEE,Animal,2,Gentle 'sea cow' of the delta creeks,,,live
PANGOLIN,Animal,3,Scaly anteater that rolls into a ball,,,live
MONGOOSE,Animal,2,"Quick and low, will fight a snake",,,live
LOCUST,Animal,1,Comes in a cloud and finishes the farm,,,live
WEAVERBIRD,Animal,2,Yellow bird that knots hanging nests in the palm,,,live
FRUITBAT,Animal,2,"Hangs in the iroko tree, screeches at dusk",,,live
DUIKER,Animal,2,"Small forest antelope, common bushmeat",,,live
BUSHFOWL,Animal,2,"Wild francolin, flushed from the grass",,,live
LIZARD,Animal,1,Red-headed agama doing press-ups on the wall,,,live
VIPER,Animal,2,"Fat, slow, and why you carry a torch at night",,,live
TSETSE,Animal,2,The fly that carries sleeping sickness,,,live
ALTAR,Faith,1,Where you go forward for prayer,,,live
OFFERING,Faith,1,"The second collection, after the tithe",,,live
WATCHNIGHT,Faith,2,The 31st December service into the new year,,,live
DEACON,Faith,2,"Ordained helper, a step below the pastor",,,live
APOSTLE,Faith,2,Title many Nigerian church founders take,,,live
IMAM,Faith,1,Leads the prayer and the Friday sermon,,,live
MUEZZIN,Faith,2,Calls the faithful five times a day,,,live
SUHUR,Faith,2,The pre-dawn meal before the fast,,SAHUR,live
IFTAR,Faith,2,The meal that breaks the Ramadan fast,,,live
ALMAJIRI,Faith,3,A boy sent far from home to study the Qur'an,,,live
HALAL,Faith,1,"Permitted, especially the meat",,,live
HARAM,Faith,1,Forbidden - 'that thing na haram',,,live
JAMBITE,School,2,"A fresh undergraduate, still finding classes",,,live
MATRIC,School,2,The gown-and-oath ceremony for new students,,,live
ACADA,School,2,"Slang for a bookish, serious student",,,live
BURSARY,School,2,"The office that pays, and the small grant itself",,,live
DEPARTMENT,School,1,Your course's home - 'which department?',,,live
SANDWICH,School,2,Part-time degree run in the long vacation,,,live
CORPER,School,1,A youth-service member in khaki for a year,,KOPA,live
KHAKI,School,1,The NYSC uniform - 'off your khaki',,,live
REDEMPTION,School,2,The final NYSC clearance date,,,live
EXPO,School,2,Leaked answers passed round the exam hall,,,live
CHALKBOARD,School,1,"Green board, white chalk, dusty duster",,,live
BOARDING,School,1,School you sleep in - 'boarding house',,,live
SCRIPT,Screen,1,What the actor is supposed to have learned,,,live
LOCATION,Screen,1,Where filming happens - 'we're on location',,,live
TEASER,Screen,1,The short clip that drops before the trailer,,,live
CROSSOVER,Screen,2,A film pairing Nollywood and Ghallywood stars,,,live
MARKETER,Screen,2,The Idumota man who funds and sells the film,,,live
IDUMOTA,Screen,3,Lagos market that was Nollywood's distribution hub,,,live
VOICEOVER,Screen,2,The narrator explaining what you can already see,,,live
SOUNDTRACK,Screen,2,The song under every emotional scene,,,live
CINEMA,Screen,1,"Where you watch it big, with popcorn prices",,,live
CAMEO,Screen,2,A star's quick one-scene appearance,,,live
FIRSTBORN,People,1,The one who carries the family's hopes,,,live
NAMESAKE,People,1,You carry their name - 'my namesake',,,live
SUITOR,People,1,The man 'coming to see' the family,,,live
GRANNY,People,1,"'Mama', the elder everybody defers to",,,live
GUARDIAN,People,1,The relative a child is 'kept with' in the city,,,live
HOUSEGIRL,People,1,"The live-in help, counterpart to houseboy",,,live
ARTISAN,People,1,"Any hands-on tradesman, carpenter to mason",,,live
WELDER,People,1,Sparks flying at the roadside workshop,,,live
CARPENTER,People,1,Makes the wardrobe and the coffin,,,live
BRICKLAYER,People,1,"Lays the blocks - everyone says this, not mason",,,live
OKADAMAN,People,1,Rides you through the traffic on two wheels,,,live
SECURITY,People,1,The 'mai guard' at the gate,,,live
ALFA,People,2,A Yoruba Muslim cleric and prayer-writer,,,live
KABIYESI,People,3,"'Your highness', how you hail an oba",,,live
GALALA,Sound,2,"Gritty Ajegunle street sound and dance, '90s",,,live
KONTO,Sound,2,Ajegunle dance craze that followed galala,,,live
MAKOSSA,Sound,2,Cameroonian groove that ruled Lagos parties,,,live
SHAKU,Sound,2,"'Shaku shaku', the arms-crossed street dance",,,live
LEGWORK,Sound,2,Fast fancy footwork dance from the streets,,,live
IGBIN,Sound,2,Sacred Yoruba drum played for Obatala,,,live
KALANGU,Sound,2,"The Hausa talking drum, squeezed under the arm",,,live
MOLO,Sound,2,"Northern plucked lute, ancestor of the banjo",,,live
ONUGBU,Chop,2,"Bitterleaf, the base of bitterleaf soup",,,live
IYAN,Chop,2,"Pounded yam, Yoruba name for it",,,live
KANDA,Chop,2,"Cow-skin snack, chewy and salted",,,live
BALANGU,Chop,2,"Roasted meat, the northern cousin of suya",,,live
FISHROLL,Chop,1,"Fried pastry with a fish filling, bus-stop snack",,,live
MEATPIE,Chop,1,Flaky pastry parcel of minced meat,,,live
ROBO,Chop,2,Melon-seed cake sold on a tray,,,live
TOMBROWN,Chop,2,"Roasted-maize cereal, for babies and big babies too",,,live
CUSTARD,Chop,1,"Yellow cornflour porridge, a breakfast staple",,,live
EGGROLL,Chop,1,Boiled egg wrapped in fried dough,,,live
GIZZARD,Chop,1,"Chewy chicken part, a party plate favourite",,,live
ASUN,Chop,2,"Spicy grilled goat meat, chopped small",,,live
GOMBE,Streets,2,"Northeast capital, 'jewel in the savannah'",,,live
IJEBU,Streets,2,Yoruba town famous for garri and shrewdness,,,live
EKITI,Streets,2,"Southwest state, hilly and proud",,,live
GARKI,Streets,2,One of Abuja's original diplomatic districts,,,live
BENIN,Streets,2,"Edo capital, ancient bronze-casting city",,,live
KEFFI,Streets,3,Nasarawa town on the road to Abuja,,,live
OGBOMOSO,Streets,3,Old Oyo town on the Lagos-Ibadan-Kano road,,,live
BUSSTOP,Streets,1,Where the danfo conductor is shouting your route,,,live
TRICYCLE,Streets,1,"Three-wheeled taxi, another name for keke",,,live
SPEEDBUMP,Streets,1,The 'sleeping policeman' that slows every danfo,,,live
ONEWAY,Streets,2,"Street with traffic going one direction, until okada ignores it",,,live
ROADSIDE,Streets,1,"Where the suya, gala and recharge cards are sold",,,live
GBOZA,Gist,2,"Shout of triumph, 'gboza!'",,,live
SHEGE,Gist,2,"Big trouble, Hausa-flavoured, 'you don see shege'",,,live
JAGABAN,Gist,2,"Chieftaincy title for a big man, 'the landlord'",,,live
BANGER,Gist,1,A song or a jollof that absolutely slaps,,,live
SLAY,Gist,1,"To dress stunningly, 'slay queen'",,,live
TRENDING,Gist,1,Everybody's talking about it online right now,,,live
CRINGE,Gist,2,"Secondhand embarrassment, 'that one cringe well well'",,,live
TACKLE,Gist,2,"To hit on someone romantically, 'e wan tackle am'",,,live
BABYGIRL,Gist,1,"A pampered, fashionable young woman",,,live
OMONILE,Gist,3,Self-declared 'son of the land' who extorts builders,,,live
CANCEL,Gist,2,To publicly disown someone online,,,live
KUKUMA,Gist,3,"Filler word for emphasis, 'just do am kukuma'",,,live
CHEI,Pidgin,1,"Exclamation of shock, 'chei, see wahala'",,,live
GBOSA,Pidgin,2,"Sound of impact or emphasis, 'gbosa, he don fall'",,,live
AZAMAN,Pidgin,3,"A show-off, flashy dresser, 'na azaman be that'",,,live
WUNA,Pidgin,2,"You all, the plural you, pidgin 'wuna'",,,live
KEDU,Pidgin,2,Igbo for 'how are you',,,live
SANNU,Pidgin,2,Hausa word for 'welcome' or 'hello',,,live
BAWO,Pidgin,2,"Yoruba for 'how', start of every greeting",,,live
ODABO,Pidgin,2,Yoruba for 'goodbye',,,live
NGWA,Pidgin,3,"Igbo for 'come on, hurry up'",,,live
DALU,Pidgin,2,Igbo for 'thank you',,,live
USSD,Naija,2,"Bank code you dial without internet, like *737#",,,live
DOLLAR,Naija,1,"Currency everybody prices things in, unofficially",,,live
AGENT,Naija,1,Charges a fee to 'find' you an apartment,,,live
ESTATE,Naija,1,"Gated compound of similar houses, with its own gate fee",,,live
DIASPORA,Naija,2,"Nigerians abroad, sending remittances home",,,live
REMIT,Naija,2,Money sent home from abroad,,,live
BUDGET,Naija,1,"Government spending plan, argued over every year",,,live
SALARY,Naija,1,The alert everybody waits for by month-end,,,live
ALLOWANCE,Naija,2,"Extra pay on top of salary, transport or housing",,,live
TAXPAYER,Naija,2,Citizen funding the roads that still have potholes,,,live
BEADS,Owambe,1,"Coral or crystal, worn heavy for the occasion",,,live
CATERER,Owambe,1,Handles the small chops and jollof for 500 guests,,,live
COMPERE,Owambe,2,MC who hypes the crowd and calls names for spraying,,,live
CANOPY,Owambe,1,Rented tent shading the whole street for the party,,,live
GATECRASH,Owambe,2,"To attend uninvited, everybody does it at owambe",,,live
EMCEE,Owambe,1,"Party host with the mic, same as compere",,,live
BALLOON,Owambe,1,"Inflated decoration, arches everywhere at the entrance",,,live
SOUVENIR,Owambe,1,"The branded fan, mug or towel you go home with",,,live
CEILING,Home,1,"POP design overhead, the pride of the sitting room",,,live
TERRAZZO,Home,2,"Shiny speckled floor finish, common in Naija houses",,,live
BALCONY,Home,1,Upper floor's own verandah,,,live
GATE,Home,1,"First thing the visitor meets, often locked",,,live
FENCE,Home,1,"Wall around the compound, topped with broken bottles",,,live
COMPOUND,Home,1,The whole house and yard together,,,live
TANK,Home,1,"Overhead water storage, the big black or blue drum",,,live
PADLOCK,Home,1,"Secures the gate, everybody has a spare key",,,live
SCALE,Market,1,Weighs the meat or the pepper before you pay,,,live
BASKET,Market,1,Woven carrier for market shopping,,,live
STALL,Market,1,A trader's fixed spot in the market,,,live
KIOSK,Market,1,"Small roadside shop, often selling provisions",,,live
CHANGE,Market,1,Small notes the conductor never has,,,live
PROFIT,Market,1,What the trader hopes for after the haggling,,,live
WAYBILL,Market,2,Paper that tracks goods sent by bus from the market,,,live
ONIONS,Market,1,Makes every pot cry a little,,,live
AZONTO,Sound,2,Ghana-born dance craze that swept Naija too,,,live
ETIGHI,Sound,3,"PSquare-era dance move, shoulder-shrug style",,,live
SKELEWU,Sound,2,Davido's breakout dance move,,,live
KUKERE,Sound,2,"Iyanya's hit dance, hips and all",,,live
ORGAN,Sound,1,Keyboard the church and juju band both can't do without,,,live
TRUMPET,Sound,1,"Brass instrument, loud at owambe and church",,,live
BEAT,Sound,1,The rhythm underneath every Afrobeats hit,,,live
LYRICS,Sound,1,"Words of the song, sometimes half English half pidgin",,,live
ACTOR,Screen,1,Plays the villain everybody loves to hate,,,live
ACTRESS,Screen,1,Leading lady of the Nollywood scene,,,live
DIRECTOR,Screen,1,Shouts 'action' and 'cut' on set,,,live
PRODUCER,Screen,2,Funds the film and hopes for a box-office return,,,live
STUNT,Screen,2,"Dangerous scene, usually faked, usually",,,live
EPISODE,Screen,1,One instalment of a Nollywood series,,,live
FLASHBACK,Screen,2,Scene that jumps back to explain the plot,,,live
STREAMING,Screen,2,How new Nollywood reaches the diaspora now,,,live
PARISH,Faith,1,A church's local district or congregation,,,live
BAPTISM,Faith,1,"Full immersion or sprinkle, depends on the church",,,live
COMMUNION,Faith,1,"Bread and wine, remembering the Last Supper",,,live
REVEREND,Faith,1,Title before a pastor's name,,,live
MOSQUE,Faith,1,"Muslim place of worship, minaret and all",,,live
QURAN,Faith,1,Islam's holy book,,,live
PILGRIM,Faith,2,"Traveller to Mecca or Jerusalem, on a holy journey",,,live
SCRIPTURE,Faith,1,The holy text quoted every Sunday,,,live
MIDWIFE,People,2,"Delivers the baby, sometimes at home",,,live
HERBALIST,People,2,Sells roots and leaves for every ailment,,,live
FARMER,People,1,"Works the land, feeds the nation, underpaid",,,live
FISHERMAN,People,1,Casts nets on the river or the lagoon,,,live
DRIVER,People,1,Behind the wheel of the danfo or the keke,,,live
CLEANER,People,1,Sweeps the office before anyone else arrives,,,live
BARBER,People,1,"Cuts fade and low-cut, gists while he works",,,live
COUSIN,People,1,"Extended-family child, sometimes closer than a sibling",,,live
PRINCIPAL,School,1,Head of a secondary school,,,live
HEADMASTER,School,1,"Runs the primary school, cane in hand back in the day",,,live
DEBATE,School,1,"Two teams argue a motion, prefects judge",,,live
LIBRARY,School,1,Quiet room full of textbooks nobody borrows,,,live
TIMETABLE,School,1,Grid that says which subject comes next,,,live
LATECOMER,School,2,Punished at morning assembly for arriving after the gate shuts,,,live
EXAMINER,School,2,"Marks your WAEC script, mysterious and strict",,,live
SEMESTER,School,1,"Half of the academic year, in a university calendar",,,live
PARROT,Animal,1,"Talking bird, green, kept as a pet",,,live
OSTRICH,Animal,1,"Tallest bird, buries its head, cannot fly",,,live
BUFFALO,Animal,1,Horned wild bovine of the savannah,,,live
GAZELLE,Animal,1,"Fast, graceful antelope of the grassland",,,live
JACKAL,Animal,2,"Wild dog cousin, scavenger of the bush",,,live
MONITOR,Animal,2,"Big lizard, the monitor type, found near water",,,live
SNAIL,Animal,1,"Slow crawler, a delicacy in pepper sauce",,,live
CENTIPEDE,Animal,1,Many-legged crawler that bites and burns,,,live
AMBIGUOUS,English,3,Open to more than one interpretation,,,live
TENACITY,English,3,Firmness of purpose; refusal to give up,,,live
BENEVOLENT,English,3,Kind and generous in nature,,,live
CANDID,English,2,Truthful and straightforward; frank,,,live
DILIGENT,English,2,Showing care and effort in one's work,,,live
ELOQUENT,English,2,Fluent and persuasive in speaking,,,live
FRUGAL,English,2,Sparing with money or resources,,,live
GENUINE,English,2,Truly what it is said to be; authentic,,,live
HUMBLE,English,1,Not proud; modest,,,live
IMPARTIAL,English,3,Treating all sides equally; not biased,,,live
JOVIAL,English,1,Cheerful and friendly,,,live
KEEN,English,1,Eager or enthusiastic,,,live
LENIENT,English,3,Merciful; not strict in judgment,,,live
MODEST,English,1,Not boastful about one's abilities,,,live
NOTABLE,English,2,Worthy of attention; remarkable,,,live
OBSOLETE,English,2,No longer in use; outdated,,,live
PLAUSIBLE,English,3,Seeming reasonable or probable,,,live
QUAINT,English,3,Attractively unusual or old-fashioned,,,live
RESILIENT,English,3,Able to recover quickly from difficulty,,,live
SCARCE,English,1,In short supply; hard to find,,,live
TRANQUIL,English,2,Calm and peaceful,,,live
UNIQUE,English,1,Being the only one of its kind,,,live
VERBOSE,English,3,Using more words than needed,,,live
WITHER,English,2,"To shrink or dry up, as a plant does",,,live
ZEALOUS,English,2,Showing great energy for a cause,,,live
ABUNDANT,English,1,Existing in large quantities,,,live
BRITTLE,English,1,Hard but easily broken,,,live
CONCISE,English,2,"Giving information clearly, in few words",,,live
DEVIOUS,English,3,Showing cunning and deceit,,,live
EXOTIC,English,1,Foreign and strikingly unusual,,,live
FICKLE,English,3,Changing frequently; not loyal,,,live
GRUDGE,English,2,A lasting feeling of resentment,,,live
HOSTILE,English,2,Unfriendly; antagonistic,,,live
IDLE,English,1,Not active or in use,,,live
JUBILANT,English,2,"Feeling great happiness, especially at success",,,live
LETHAL,English,2,Sufficient to cause death; deadly,,,live
MEAGRE,English,2,Small in amount; scanty,,,live
NAIVE,English,2,Showing a lack of experience or wisdom,,,live
OPAQUE,English,2,Not able to be seen through,,,live
PECULIAR,English,2,Strange or unusual,,,live
QUIRKY,English,2,Unusual in an interesting way,,,live
RECKLESS,English,2,Acting without thinking of consequences,,,live
STUBBORN,English,1,Refusing to change one's mind,,,live
THRIFTY,English,2,Careful with money; economical,,,live
URGENT,English,1,Requiring immediate action,,,live
VIGILANT,English,2,Keeping careful watch for danger,,,live
WARY,English,1,Cautious about possible danger,,,live
YEARN,English,2,To have an intense desire for something,,,live
ADAMANT,English,2,Refusing to be persuaded; unyielding,,,live
BLEAK,English,2,Lacking hope or promise,,,live
